name,category,address,phone,icon_url
06 Aspava,Kebap/Türk Mutfağı,Cepa Avm. Mustafa Kemal Mah. 2123 Sok. N o:2/355 Mustafa Kemal Çankaya ANKARA,03122197574,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
06 Cafe Restaurant,Ev Yemekleri,Yaşam Cad. No:7/1 Söğütözü Çankaya ANKARA,03122191863,http://ws.ticket.com.tr/iphone/images/icons/ST303.png
06 Doycam Karadeniz Pide,Kebap/Türk Mutfağı,Aziziye Mah. Hoşdere Cad. Hava Sokak No: Aziziye Çankaya ANKARA,03124394402,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
1071 Aspava,Kebap/Türk Mutfağı,Keklikpınarı Mah. 906. Sok. No:3D/16 Çankaya Çankaya ANKARA,03124821071,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
1991 Merkez Kebap ve Pide,Pide,Aşağı Öveçler Mah. Kabil Cad. No:16/F Çankaya Çankaya ANKARA,03129656022,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
2D Döner,Köfte,Huzur Mah. Lisbon Cad. 88/A Huzur Çankaya ANKARA,03124731720,http://ws.ticket.com.tr/iphone/images/icons/ST324.png
31 Antakya Dürüm,Kebap/Türk Mutfağı,Oğuzlar Mah.Barış Manço Cad.No:41/B Çankaya Çankaya ANKARA,03128389266,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
344 Mehmet Usta,Kebap/Türk Mutfağı,Alacaatli Mah. Mehmet Rıfat Börekçi Cad. No:37/D1 Çankaya Çankaya ANKARA,03122400606,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
360 Döner,Kebap/Türk Mutfağı,Beytepe AVM Üniversiteler Mah. Hacettepe ÜniverSitesi Beytepe Çankaya ANKARA,03122992203,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
8.40 Coffee,Pizza,Çiğdem Mah. 1588 Sok. No:15 Çankaya Çankaya ANKARA,03122647373,http://ws.ticket.com.tr/iphone/images/icons/ST312.png
99 Sümella Et Lokantası,Kebap/Türk Mutfağı,Güvenevler Mah. Hoşdere Cad. Yukarı Ayrancı Çankaya ANKARA,03124674311,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
A4 Kahve,Pasta/Tatlı,Remzi Oğuz Arık Mah. Atatürk Bul. No:237 Çankaya Çankaya ANKARA,03129111824,http://ws.ticket.com.tr/iphone/images/icons/ST305.png
Abbas Waffle,Pasta/Tatlı,Yukarı Bahçelievler Mah. Aşkabat Cad. No Yukarı Bahçelievler Çankaya ANKARA,03122151801,http://ws.ticket.com.tr/iphone/images/icons/ST305.png
Acıktım Fast Food,Sandwich/Tost/Burger,Çankaya Mah. Simon Bolivar Cad. Abant Sok. Çankaya Çankaya ANKARA,03124389092,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Acıktunus,Kebap/Türk Mutfağı,Remzi Oğuz Arık Mah. Tunus Cad. No:49/C Çankaya Çankaya ANKARA,03121951918,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Ada Sandwich,Sandwich/Tost/Burger,İncesu Mah. Mahmut Esat Bozkurt Cad. Büyüktepe Sok. No:62/17 Küçükesat Çankaya ANKARA,03124172352,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Ada Sofrası,Pide,Huzur Mah. Lizbon Cad. No:144 B Huzur Çankaya ANKARA,03124769441,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
Adanalı Hasan Kolcuoğlu,Kebap/Türk Mutfağı,Prof. Dr. Ahmet Taner Kışlalı Mah. 2864 Çayyolu Çankaya ANKARA,03122413601,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Adanalı İsmail Usta,Kebap/Türk Mutfağı,Emek Mah. 73 Sok. No:75/A Emek Çankaya ANKARA,03122139120,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Ahi Piknik Cafe,Ev Yemekleri,Sıhhiye Mah. Sağlık Sokak No:5/B Çankaya Çankaya ANKARA,03124340465,http://ws.ticket.com.tr/iphone/images/icons/ST303.png
Akalp Çiftliği Angora,Market Ürünleri,Mutlukent Mah. 2015 Cad. No:4/7 Çankaya Çankaya ANKARA,03122360025,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Akova Et Mangal İşkembe,Kebap/Türk Mutfağı,Kırkkonaklar Mah. 316 Cad. No:15/A Kırkkonaklar Kırkkonaklar Çankaya ANKARA,03124959596,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Aksan Sandviç,Sandwich/Tost/Burger,Oğuzlar Mah. Ceyhun Atıf kansu Cad. No:51/B Balgat Balgat Çankaya ANKARA,03122856101,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Alacaatlı Pide Kebap,Kebap/Türk Mutfağı,Alacaatlı Mah. Alacaatlı Köy No:102/C Çayyolu Çankaya ANKARA,03122391300,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Alaturca Türk Mutfağı,Kebap/Türk Mutfağı,Sezenler Cad. No:20/A Sıhhıye Çankaya ANKARA,03122290799,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Albayrak Gıda,Market Ürünleri,Emek Mah. 7 Cad. No:4/A Emek Çankaya ANKARA,03122238248,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Alfa Köfte Izgara,Sandwich/Tost/Burger,Beytepe Mah. Küme Evleri Cad. No:6/A Çankaya Çankaya ANKARA,03122270227,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Alfred' s Coffe,Kahve,Emek Mah.Bişkek Cad.No:55/A Çankaya Çankaya ANKARA,03124414961,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Ali dip Döner,Kebap/Türk Mutfağı,Mustafa Kemal Mah. 2146 Sok. No:4/B Mustafa Kemal Çankaya ANKARA,03122195828,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Alpay Lahmacun,Kebap/Türk Mutfağı,Kızılay Mah. Sakarya Cad. Bayindir Sok. Cumhuriyet Çankaya ANKARA,03124356767,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
